File,Date,Caption,Alt,Description
puppies-trio-2025-06.jpg,2025-06-04,June 2025 litter,"Three chocolate Kelpie puppies sitting together — beautiful kelpie babies still looking for their forever homes",
puppy-closeup-2025-06.jpg,2025-06-04,June 2025 litter,"Close-up of a chocolate Kelpie puppy's face — beautiful kelpie babies still looking for their forever homes",
puppies-pair-2025-06.jpg,2025-06-04,June 2025 litter,"Two chocolate Kelpie puppies side by side — beautiful kelpie babies still looking for their forever homes",
black-puppy-2024-06.jpg,2024-06-21,June 2024,"A black puppy sitting on the floor beside a crate — my new assistant enjoying the perks of mum working from home",
western-classic-show-2024-03.jpg,2024-03-04,"Western Classic, March 2024","Two women standing with a chocolate Kelpie and a show ribbon — another Western Classic done and dusted",
show-team-ribbon-2024-02.jpg,2024-02-19,"Show results, Feb 2024","The owner sitting on grass with three Kelpies and a show ribbon",
breeders-team-ribbon-2024-02.jpg,2024-02-19,"Breeders Team, 1st — Feb 2024","A W.A. Kennel Club Breeders Team 1st place ribbon",
